layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
20,attn_sub_norm.output,406769.0006514754,54.28744752220593,0.00010890532586931108,0.5780323098296773
20,post_attention_layernorm.output,136032.94542132065,23.98361413474762,0.00014952804340071402,0.5298203725086524
20,ffn.up_proj,2316542.823265739,3182.396915249074,0.0011778577848630721,0.5146658422492042
20,ffn_sub_norm.output,500828.0728413694,142.6574155238231,8.567598961425015e-05,0.9536925721459119
20,block_output,1160643234.5284522,219958.6411764792,0.00018521023991972503,0.21191396956723862
21,input_layernorm.output,1158.8123230273313,0.23478182051669472,0.00016563996987931985,0.5758590648263103
21,attn.q_pre_rope,127779.31830308064,26.655041121678543,0.00019204915429840475,0.39039374937690663
21,attn.k_pre_rope,183395.38185843176,35.192836402827545,0.00017509420111200074,0.40920315199023477
21,attn.v,294339.2709374677,70.85149091683722,0.00023748931975415237,0.16312764534564694
21,attn_sub_norm.output,453309.9179457692,55.65430845365189,8.66375161516685e-05,0.7085394053028077
21,post_attention_layernorm.output,137571.2421656503,26.012547053549003,0.00015881733877642305,0.5426959475067289
21,ffn.up_proj,2168587.331014594,3297.657473051051,0.001260666444491527,0.5592003962859426
21,ffn_sub_norm.output,497028.5523287369,44.043694444270564,3.82667737641391e-05,0.9019518572203107
21,block_output,1223710603.016627,227855.23550296001,0.0001820613382714723,0.20967259353525444
22,input_layernorm.output,1251.322100819769,0.2511600996760132,0.00015977558042616744,0.6052585249602489
22,attn.q_pre_rope,160711.2706595278,33.06540206150202,0.0001884360449489552,0.40146209658950716
22,attn.k_pre_rope,164205.007320118,31.944627963100945,0.0001766288994575649,0.41913108341729927
22,attn.v,389379.74489051173,96.74448970446683,0.000244833784794349,0.17017763776101724
22,attn_sub_norm.output,775047.4835763291,130.5246160886674,0.00015743320376834143,0.3550979692211298
22,post_attention_layernorm.output,130545.88929185017,23.85818443897203,0.00014981526787839463,0.5727202775720042
22,ffn.up_proj,2424383.1584743364,3458.852418384334,0.0012126700918293335,0.5268048964165523
22,ffn_sub_norm.output,560745.583108775,55.759391842607464,5.128396032950779e-05,0.8567461705266453
22,block_output,1392543418.4512815,252005.39148051973,0.0001773463666846681,0.1990515707671613
23,input_layernorm.output,1030.1883322965757,0.19373399081755005,0.00014219497156319673,0.6544243152833339
23,attn.q_pre_rope,116082.36962174746,22.511045786574122,0.00017542780291273527,0.426206500003474
23,attn.k_pre_rope,184521.5586781122,31.38760931245071,0.0001570648862742258,0.3839510251602864
23,attn.v,251476.40139384847,60.02203419806291,0.00023022434628786566,0.2637943681947748
23,attn_sub_norm.output,552398.0395122705,58.34306500162261,6.0639334109045335e-05,0.8187576011831141
23,post_attention_layernorm.output,131713.88176270563,23.118748156305216,0.00014139222032407848,0.5925271790620116
23,ffn.up_proj,2449086.2069047303,3518.8561550455242,0.0012166350343791664,0.5319672050520253
23,ffn_sub_norm.output,634231.9543282252,74.30216799658594,7.582934164024197e-05,0.7622627871007598
23,block_output,1461998173.596827,263821.5218124509,0.00017715578040976998,0.1902807578932852
24,input_layernorm.output,991.9455630224876,0.17943668944468905,0.00013658749365448548,0.6556435594881826
24,attn.q_pre_rope,120618.72301595636,22.621574533861807,0.00017024852226971447,0.4194708847791168
24,attn.k_pre_rope,165262.93023845364,30.441770110266877,0.00017042892782213008,0.37941110595975847
24,attn.v,354083.7531418238,78.85190450540722,0.00022108446213931114,0.1199680987044925
24,attn_sub_norm.output,443884.073182402,55.991807691693644,8.853914149175112e-05,0.7122673185751858
24,post_attention_layernorm.output,127877.67404828726,22.105360631783352,0.00013922072759979404,0.5927583914328012
